1	0	3	0.25	0	45	90	135	90	0	90	2
0	1	3	0.25	0	90	45	135	180	90	90	2
-1	0	3	0.25	0	135	90	135	270	180	90	2
0	-1	3	0.25	0	90	135	135	0	270	90	2
2	0	2	0.5	45	45	90	135	90	0	90	2
1.4142	1.4142	2	0.5	45	60	60	135	135	45	90	2
0	2	2	0.5	45	90	45	135	180	90	90	2
-1.4142	1.4142	2	0.5	45	120	60	135	135	135	90	2
-2	0	2	0.5	45	135	90	135	90	180	90	2
-1.4142	-1.4142	2	0.5	45	120	120	135	45	225	90	2
0	-2	2	0.5	45	90	135	135	0	270	90	2
1.4142	-1.4142	2	0.5	45	60	120	135	-45	315	90	2
3	0	1	0.75	90	45	90	135	90	0	90	2
2.5981	1.5	1	0.75	90	52.2388	69.2952	135	120	30	90	2
1.5	2.5981	1	0.75	90	69.2952	52.2388	135	150	60	90	2
0	3	1	0.75	90	90	45	135	180	90	90	2
-1.5	2.5981	1	0.75	90	110.7048	52.2388	135	210	120	90	2
-2.5981	1.5	1	0.75	90	127.7612	69.2952	135	240	150	90	2
-3	0	1	0.75	90	135	90	135	270	180	90	2
-2.5981	-1.5	1	0.75	90	127.7612	110.7048	135	300	210	90	2
-1.5	-2.5981	1	0.75	90	110.7048	127.7612	135	330	240	90	2
0	-3	1	0.75	90	90	135	135	0	270	90	2
1.5	-2.5981	1	0.75	90	69.2952	127.7612	134.8555	30	300	90	2
2.5981	-1.5	1	0.75	90	52.2388	110.7048	135	60	330	90	2
4	0	0	1	135	45	90	135	90	0	90	2
3.6955	1.5307	0	1	135	49.2105	74.3001	135.0001	112.5	22.5	90	2
2.8284	2.8284	0	1	135	60	60	135	135	45	90	2
1.5307	3.6955	0	1	135	74.3001	49.2105	135.0001	157.5	67.5	90	2
0	4	0	1	135	90	45	135	180	90	90	2
-1.5307	3.6955	0	1	135	105.6999	49.2105	135.0001	157.5	112.5	90	2
-2.8284	2.8284	0	1	135	120	60	135	135	135	90	2
-3.6955	1.5307	0	1	135	130.7895	74.3001	135.0001	112.5	157.5	90	2
-4	0	0	1	135	135	90	135	90	180	90	2
-3.6955	-1.5307	0	1	135	130.7895	105.6999	135.0001	67.5	202.5	90	2
-2.8284	-2.8284	0	1	135	120	120	135	45	225	90	2
-1.5307	-3.6955	0	1	135	105.6999	130.7895	135.0001	22.5	247.5	90	2
0	-4	0	1	135	90	135	135	0	270	90	2
1.5307	-3.6955	0	1	135	74.3001	130.7895	135.0001	-22.5	292.5	90	2
2.8284	-2.8284	0	1	135	60	120	135	-45	315	90	2
3.6955	-1.5307	0	1	135	49.2105	105.6999	135.0001	-67.5	337.5	90	2
